Station_ID,City,State,Start_Date,End_Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
13876,BIRMINGHAM,AL,193001,202312,15,10,5,1,0,0,0,0,0,NA,6,12,50
3856,HUNTSVILLE,AL,195809,202312,18,13,6,1,0,0,0,0,0,1,8,15,61
13894,MOBILE,AL,194801,202312,8,5,1,NA,0,0,0,0,0,NA,2,5,21
13895,MONTGOMERY,AL,194801,202312,13,7,2,NA,0,0,0,0,0,NA,4,10,38
26451,ANCHORAGE,AK,195204,202312,30,27,29,21,3,0,0,NA,3,19,28,30,191
25308,ANNETTE,AK,194102,201909,16,14,13,4,NA,0,0,0,NA,1,9,15,73
27502,BARROW,AK,190109,202312,31,28,31,30,31,23,12,13,24,31,30,31,314
26615,BETHEL,AK,192308,202312,30,28,31,28,15,1,NA,NA,6,25,29,30,221
26533,BETTLES,AK,195105,202312,31,28,31,29,13,NA,NA,2,14,30,30,31,240
26415,BIG DELTA,AK,191905,202312,31,28,30,26,7,NA,NA,1,10,27,30,31,221
25624,COLD BAY,AK,195003,202312,24,22,25,20,8,NA,0,NA,1,9,18,23,151
26411,FAIRBANKS,AK,192912,202312,31,28,31,27,7,NA,0,1,10,29,30,31,225
26425,GULKANA,AK,190705,202312,31,28,31,28,15,1,NA,3,14,27,29,31,238
25507,HOMER,AK,193209,202312,27,25,27,21,8,NA,0,NA,3,17,25,27,181
25309,JUNEAU,AK,193611,202312,24,22,23,14,3,NA,0,NA,1,8,18,23,135
25503,KING SALMON,AK,194202,202312,28,25,28,25,11,1,NA,NA,6,21,26,28,198
25501,KODIAK,AK,194901,202312,22,20,22,14,3,NA,0,0,1,11,19,22,133
26616,KOTZEBUE,AK,189710,202312,31,28,31,29,25,6,NA,NA,7,27,30,31,244
26510,MCGRATH,AK,194106,202312,31,28,31,28,10,NA,NA,1,10,27,30,31,226
26617,NOME,AK,190009,202312,31,28,31,29,20,4,NA,1,10,25,29,31,239
25713,ST. PAUL ISLAND,AK,191509,202312,26,26,29,26,18,3,NA,NA,2,11,19,25,184
26528,TALKEETNA,AK,191807,202312,31,28,30,27,13,1,NA,1,8,24,29,30,221
26442,VALDEZ,AK,191705,201402,30,27,30,21,6,NA,0,NA,3,15,28,30,191
25339,YAKUTAT,AK,191704,202312,25,23,25,19,7,NA,0,NA,3,11,20,24,157
3103,FLAGSTAFF,AZ,189311,202312,30,28,29,23,12,2,NA,NA,2,18,28,30,203
23183,PHOENIX,AZ,193306,202312,3,2,NA,0,0,0,0,0,0,0,1,2,8
23160,TUCSON,AZ,194606,202312,5,3,1,NA,0,0,0,0,0,NA,1,5,15
23194,WINSLOW,AZ,189810,202312,28,24,19,8,1,NA,0,0,NA,6,22,28,136
