Station_ID,City,State,Year,EMINT,EMAXT,TAVG,TMAX,TMIN,DT32,DX90
12916,NEW ORLEANS,LA,2000,28,101,70.1,79.2,60.9,6,98
12916,NEW ORLEANS,LA,2001,25,94,69.4,78,60.9,10,54
12916,NEW ORLEANS,LA,2002,26,95,69.5,77.8,61.1,7,83
12916,NEW ORLEANS,LA,2003,25,95,69.7,78.1,61.4,3,68
12916,NEW ORLEANS,LA,2004,23,95,69.6,77.6,61.6,5,58
12916,NEW ORLEANS,LA,2005,31,98,70.4,78.8,62,1,102
12916,NEW ORLEANS,LA,2006,29,97,70.7,79.5,61.9,4,93
12916,NEW ORLEANS,LA,2007,32,100,70.1,78.3,61.8,1,74
12916,NEW ORLEANS,LA,2008,28,97,69.9,78.3,61.4,2,81
12916,NEW ORLEANS,LA,2009,29,101,70.3,78.6,62,4,89
12916,NEW ORLEANS,LA,2010,21,100,69,77.6,60.4,13,104
12916,NEW ORLEANS,LA,2011,28,100,71,80,62.1,11,105
12916,NEW ORLEANS,LA,2012,32,98,71.9,80.4,63.4,1,75
12916,NEW ORLEANS,LA,2013,32,97,69.4,77.3,61.5,1,74
12916,NEW ORLEANS,LA,2014,24,96,68.8,77.4,60.2,10,78
12916,NEW ORLEANS,LA,2015,25,99,71.7,79.6,63.9,3,91
12916,NEW ORLEANS,LA,2016,33,100,72.9,80.9,65,0,118
12916,NEW ORLEANS,LA,2017,27,96,71.4,79.6,63.2,4,63
12916,NEW ORLEANS,LA,2018,20,98,71.7,79.9,63.5,12,117
12916,NEW ORLEANS,LA,2019,34,99,72.3,80.5,64,0,120
12916,NEW ORLEANS,LA,2020,35,99,73,80.9,65.1,0,93
23062,DENVER,CO,2000,-1,100,51.7,65.9,37.5,162,61
23062,DENVER,CO,2001,-8,99,51.6,65.5,37.6,158,49
23062,DENVER,CO,2002,-5,102,50.9,65.7,36.2,173,62
23062,DENVER,CO,2003,NA,102,NA,66,NA,NA,48
23062,DENVER,CO,2004,-8,100,50.4,64.4,36.3,153,19
23062,DENVER,CO,2005,-10,104,51.2,65.4,36.9,166,36
23062,DENVER,CO,2006,-13,100,51.4,65.6,37.2,150,40
23062,DENVER,CO,2007,-12,99,50.3,64.4,36.3,138,42
23062,DENVER,CO,2008,-15,102,49.7,64.1,35.2,174,41
23062,DENVER,CO,2009,NA,NA,NA,NA,NA,NA,NA
23062,DENVER,CO,2010,-7,101,50.8,64.9,36.6,166,43
23062,DENVER,CO,2011,-17,98,49.7,63.9,35.5,158,45
23062,DENVER,CO,2012,0,104,53.4,68.1,38.7,143,67
23062,DENVER,CO,2013,-10,101,49.7,63.5,35.9,176,51
23062,DENVER,CO,2014,-14,97,50.2,64.3,36.2,150,28
23062,DENVER,CO,2015,-10,97,51.7,64.9,38.4,129,34
23062,DENVER,CO,2016,-15,103,52.8,67.5,38.1,139,61
23062,DENVER,CO,2017,-12,102,53,67.9,38,149,59
23062,DENVER,CO,2018,-3,104,51.9,66.4,37.3,167,53
23062,DENVER,CO,2019,-5,100,49.8,63.5,36.1,171,46
23062,DENVER,CO,2020,-1,99,52.3,66.9,37.7,155,64
