City,State,High Feet,Low Feet
NEW YORK CITY,NY,410,0
CHICAGO,IL,673,579
LOS ANGELES,CA ,"5,074",0
PHILADELPHIA ,PA,441,0
HOUSTON,TX,83,0
DETROIT,MI ,672,575
DALLAS,TX ,686,390
SAN DIEGO,CA ,823,0
PHOENIX,AZ ,"1,160","1,058"
BALTIMORE,MD,489,0
SAN ANTONIO,TX,"1,000",505
INDIANAPOLIS,IN,845,664
SAN FRANCISCO,CA,934,0
MEMPHIS,TN,335,195
WASHINGTON,DC,410,1
MILWAUKEE,WI,799,1579
SAN JOSE,CA,"2,125",0
CLEVELAND,OH,"1,050",1571
COLUMBUS,OH,893,685
BOSTON,MA,330,0
NEW ORLEANS,LA,25,-8
JACKSONVILLE,FL ,40,0
SEATTLE,WA,520,0
DENVER,CO,"5,470","5,130"
NASHVILLE-DAVIDSON COUNTY,TN,"1,160",385
ST. LOUIS,MI ,614,385
KANSAS CITY,MI,"1,020",720
EL PASO,TX,"4,080","3,695"
ATLANTA,GA,"1,086",738
PITTSBURGH,PA,"1,370",710
OKLAHOMA CITY,OK ,"1,334","1,050"
CINCINNATI,OH ,960,433
FORT WORTH,TX,766,513
MINNEAPOLIS-ST.PAUL,MN,980,687
PORTLAND,OR,"1,073",0
HONOLULU,HI,"4,020",0
LONG BEACH,CA,360,-7
TULSA,OK ,810,620
BUFFALO,NY,699,1571
TOLEDO,OH ,627,1571
MIAMI,FL ,30,0
AUSTIN,TX,"1,080",406
OAKLAND,CA,"1,754",0
ALBUQUERQUE,NM,"6,120","4,946"
TUCSON,AZ ,"2,950","2,250"
NEWARK,NJ,278,0
CHARLOTTE,NC,784,519
OMAHA,NE,"1,272",960
LOUISVILLE,KY,761,382
BIRMINGHAM,AL,"1,060",496
