Station_ID,City,State,Start_Date,End_Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
13876,BIRMINGHAM,AL,193001,202312,0,0,0,NA,3,13,19,18,8,NA,0,0,62
3856,HUNTSVILLE,AL,195809,202312,0,0,0,NA,3,12,17,16,7,NA,0,0,56
13894,MOBILE,AL,194801,202312,0,0,0,NA,5,17,22,21,11,1,0,0,77
13895,MONTGOMERY,AL,194801,202312,0,0,NA,NA,6,18,24,23,13,2,NA,0,86
26451,ANCHORAGE,AK,195206,202312,0,0,0,0,1,4,7,3,NA,0,0,0,16
25308,ANNETTE,AK,194102,201909,0,0,0,NA,2,4,6,7,2,NA,0,0,20
27502,BARROW,AK,1/9/19,202312,0,0,0,0,0,NA,NA,NA,0,0,0,0,0
26615,BETHEL,AK,192308,202312,0,0,0,0,1,5,6,2,NA,0,0,0,14
26533,BETTLES,AK,195105,202312,0,0,0,0,2,14,16,6,NA,0,0,0,38
26415,BIG DELTA,AK,191706,202312,0,0,0,NA,3,11,15,8,NA,NA,0,0,38
25624,COLD BAY,AK,195003,202312,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
26411,FAIRBANKS,AK,192912,202312,0,0,0,NA,5,17,20,10,1,NA,0,0,53
26425,GULKANA,AK,9/8/19,202312,0,0,0,NA,2,10,14,7,NA,0,0,0,33
25507,HOMER,AK,193209,202312,0,0,0,0,NA,1,1,1,0,0,0,0,3
25309,JUNEAU,AK,193609,202312,0,0,0,NA,2,5,7,6,NA,0,0,0,21
25503,KING SALMON,AK,194203,202312,0,0,0,0,1,3,6,4,NA,0,0,0,15
25501,KODIAK,AK,194901,202312,0,0,0,0,NA,1,3,3,NA,0,0,0,8
26616,KOTZEBUE,AK,189710,202312,0,0,0,0,NA,1,3,1,0,0,0,0,5
26510,MCGRATH,AK,194106,202312,0,0,0,0,2,12,14,6,1,0,0,0,35
26617,NOME,AK,190009,202312,0,0,0,0,NA,2,2,1,NA,0,0,0,5
25713,ST. PAUL ISLAND,AK,191509,202312,0,0,0,0,0,0,0,0,0,0,0,0,0
26528,TALKEETNA,AK,191807,202312,0,0,0,NA,2,10,14,8,NA,0,0,0,35
26442,VALDEZ,AK,191705,201402,0,0,0,0,1,2,3,2,NA,0,0,0,8
25339,YAKUTAT,AK,191704,202312,0,0,0,NA,1,1,1,1,NA,0,0,0,4
