Station ID,City,State,Start Date,End Date,,JAN,,FEB,,MAR,,APR,,MAY,,JUN,,JUL,,AUG,,SEP,,OCT,,NOV,,DEC,,ANN
13876,BIRMINGHAM,AL,1948,2018,81,60,80,56,80,52,83,50,85,53,85,56,87,58,88,57,87,56,86,52,83,55,82,60,84,55
3856,HUNTSVILLE,AL,1958,2018,81,64,81,60,80,55,82,51,85,54,87,55,89,59,90,57,89,56,87,52,84,57,82,63,85,57
13894,MOBILE,AL,1948,2018,83,60,84,58,85,54,88,53,88,54,88,57,90,61,91,60,90,59,87,53,85,56,85,61,87,57
13895,MONTGOMERY,AL,1948,2018,83,59,82,56,83,52,87,51,87,53,88,55,90,58,91,56,90,55,89,51,87,53,84,59,87,55
26451,ANCHORAGE,AK,1953,2018,75,74,75,69,70,57,68,54,64,50,69,57,75,63,79,65,81,65,79,67,78,74,78,77,74,64
25308,ANNETTE,AK,1948,2017,82,77,81,73,79,69,77,67,76,65,79,68,82,71,84,73,87,75,85,78,83,78,83,80,82,73
27502,BARROW,AK,1948,2018,73,73,72,72,72,72,79,77,88,84,89,85,89,84,92,86,91,87,86,85,80,80,74,74,82,80
26615,BETHEL,AK,1948,2018,79,78,78,75,81,75,84,72,81,62,82,61,88,69,92,74,92,71,89,77,84,82,80,79,84,73
26533,BETTLES,AK,1945,2018,72,70,71,66,69,59,66,57,63,49,62,47,72,55,81,61,81,63,81,73,76,74,73,73,72,62
26415,BIG DELTA,AK,1948,2018,68,67,70,63,67,53,59,44,53,38,61,45,69,52,73,53,75,56,79,69,74,72,71,71,68,57
25624,COLD BAY,AK,1955,2018,86,83,86,82,85,78,86,77,86,76,88,78,92,82,92,83,89,79,85,77,85,81,85,83,87,80
26411,FAIRBANKS,AK,1948,2018,73,73,72,67,70,53,62,45,54,37,62,44,71,51,79,56,80,56,81,68,77,75,74,75,72,58
26425,GULKANA,AK,1948,2018,75,74,75,69,71,53,65,46,59,40,62,43,71,50,76,52,79,54,82,67,79,78,77,77,73,59
25507,HOMER,AK,1948,2018,80,76,79,71,76,66,75,64,72,64,75,67,80,72,83,72,84,70,82,69,79,74,80,77,79,70
25309,JUNEAU,AK,1948,2018,84,80,85,76,82,67,80,63,78,61,80,65,84,72,87,74,91,79,90,80,87,82,86,84,84,74
25503,KING SALMON,AK,1949,2018,80,77,79,72,79,66,78,61,75,56,79,59,85,65,88,68,88,67,86,69,84,78,80,78,82,68
25501,KODIAK,AK,1945,2018,80,76,80,74,77,68,75,69,77,72,80,76,83,77,82,74,82,73,80,69,78,72,78,75,79,73
26616,KOTZEBUE,AK,1945,2018,74,74,75,74,75,72,79,76,83,79,83,78,83,77,85,77,83,73,83,77,78,78,76,76,80,76
26510,MCGRATH,AK,1948,2018,75,73,75,66,74,53,70,49,65,44,68,48,77,57,85,62,86,62,84,71,80,76,77,76,76,61
26617,NOME,AK,1945,2018,75,75,75,73,75,71,78,74,78,74,77,74,83,79,85,79,82,72,81,72,78,76,76,76,78,74
25713,ST. PAUL ISLAND,AK,1949,2018,84,84,86,85,86,82,88,83,91,83,94,84,96,90,95,90,91,84,85,79,82,80,83,82,88,84
26528,TALKEETNA,AK,1948,2018,72,68,73,63,70,54,68,50,66,48,72,53,80,61,86,65,87,64,82,66,76,70,75,72,75,61
26442,VALDEZ,AK,1967,2013,74,72,76,70,74,64,74,61,76,62,80,65,85,72,87,72,88,73,80,70,76,71,76,74,79,69
25339,YAKUTAT,AK,1948,2017,86,83,86,77,84,69,82,69,79,70,82,73,86,78,89,78,91,78,90,77,87,81,87,86,86,77
3103,FLAGSTAFF,AZ,1950,2018,70,52,69,46,66,40,60,31,56,27,47,20,63,39,72,45,68,38,65,37,66,45,68,52,64,39
23183,PHOENIX,AZ,1948,2018,60,33,56,28,50,23,39,16,32,13,28,12,42,21,47,24,44,22,46,23,51,27,59,34,46,23
23160,TUCSON,AZ,1948,2018,56,31,53,26,47,21,37,15,30,12,29,13,52,29,58,32,51,27,46,24,49,27,56,34,47,24
23194,WINSLOW,AZ,1948,2018,68,46,61,33,51,24,43,19,37,16,31,13,49,26,56,30,52,26,52,27,58,33,66,46,52,28
13964,FORT SMITH,AR,1948,2018,81,61,80,58,79,53,82,51,88,57,88,57,89,54,89,53,89,54,87,52,83,55,82,61,85,56
13963,LITTLE ROCK,AR,1948,2018,80,61,80,58,79,56,82,55,87,58,87,56,87,56,88,55,87,55,86,53,83,57,81,61,84,57
23155,BAKERSFIELD,CA,1948,2018,80,61,75,50,69,42,62,33,54,26,47,23,45,22,48,23,51,27,58,34,71,49,78,60,62,38
23157,BISHOP,CA,1948,2018,51,36,50,28,40,20,34,17,34,16,30,13,31,15,30,14,31,15,36,19,44,27,50,36,38,21
23225,BLUE CANYON,CA,1948,2018,56,62,60,63,63,63,59,57,52,50,43,40,38,33,36,31,39,36,49,50,54,60,58,64,51,51
93193,FRESNO,CA,1949,2018,88,67,85,55,81,45,74,35,65,27,59,23,55,21,60,22,65,26,71,34,82,53,88,67,73,40
23129,LONG BEACH,CA,1949,2018,72,54,74,55,75,55,75,52,77,55,79,57,79,55,78,54,78,55,75,55,72,53,71,54,75,54
93134,LOS ANGELES,CA,1999,2018,52,49,54,52,57,53,56,52,63,57,65,60,65,59,63,57,60,56,57,56,51,51,52,51,58,54
24257,REDDING,CA,1986,2018,77,60,71,50,68,46,63,38,57,31,49,24,46,18,46,18,48,21,57,32,73,53,76,60,61,38
23232,SACRAMENTO,CA,1947,2018,87,69,84,59,81,52,77,44,75,37,71,32,71,29,72,30,71,31,74,39,82,57,86,69,78,45
23188,SAN DIEGO,CA,1948,2018,69,58,71,59,73,60,73,60,76,64,79,67,80,67,80,67,79,66,74,64,68,60,67,59,74,63
23272,SAN FRANCISCO,CA,1945,2018,87,66,87,70,86,71,86,68,88,72,86,64,91,71,90,71,87,62,86,66,83,67,88,73,87,69
23190,SANTA BARBARA,CA,1948,2018,72,58,73,59,74,60,75,60,78,62,83,64,84,66,83,66,80,65,76,64,71,58,73,60,77,62
23273,SANTA MARIA,CA,1954,2018,72,61,75,63,75,64,74,61,77,62,79,62,78,63,80,64,77,64,71,63,69,62,70,60,75,62
23237,STOCKTON,CA,1948,2018,86,71,83,59,78,52,71,41,65,34,62,29,60,27,62,29,63,31,68,38,80,59,85,70,72,45
23061,ALAMOSA,CO,1948,2018,74,58,72,49,65,37,63,29,63,28,65,26,74,37,76,39,72,34,68,35,70,47,72,59,69,40
93037,COLORADO SPRINGS,CO,1948,2018,54,47,56,42,57,38,58,36,62,38,60,34,62,40,64,42,60,37,55,38,54,45,53,48,58,40
3017,DENVER,CO,1995,2018,53,54,53,50,49,39,51,41,55,43,49,37,46,35,47,37,47,37,49,44,48,50,53,55,50,43
23066,GRAND JUNCTION,CO,1948,2018,75,64,69,50,58,35,52,27,47,24,38,18,43,21,48,24,48,26,54,34,65,48,74,62,56,36
93058,PUEBLO,CO,1954,2018,64,49,64,41,60,34,59,30,62,32,61,29,63,32,66,35,62,32,61,34,65,44,64,50,63,37
94702,BRIDGEPORT,CT,1948,2018,72,60,72,58,71,56,70,54,75,59,77,60,77,59,79,60,80,60,78,58,76,59,74,61,75,59
14740,HARTFORD,CT,1949,2018,73,57,73,54,71,50,69,45,73,48,76,52,78,51,82,53,85,54,83,53,79,55,77,59,76,53
13781,WILMINGTON,DE,1948,2018,75,59,74,56,73,52,72,50,76,54,77,54,78,54,82,56,84,56,84,55,80,56,77,59,78,55
93738,WASHINGTON DULLES,DC,1962,2018,75,56,75,53,75,50,74,48,80,54,81,54,82,54,85,54,87,55,86,53,81,53,78,57,80,53
13743,WASHINGTON NAT'L,DC,1941,2018,71,55,70,52,69,49,69,48,74,52,75,53,76,53,79,54,81,55,80,54,75,53,72,56,74,53
