Station ID,City,State,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
13876,BIRMINGHAM,AL,34.9,38.4,45,52.1,61,68.5,72.1,71.3,65.3,53.9,43,37.9,53.6
3856,HUNTSVILLE,AL,33.1,36.4,43,51,60.2,68,71.1,69.7,63.4,51.8,41.2,35.9,52.1
13894,MOBILE,AL,40.7,44.4,50,56,63.8,70.8,73.1,72.9,68.8,58.2,47.7,43,57.4
13895,MONTGOMERY,AL,36.5,40.4,46.5,52.6,61.3,69,72.1,71.4,66.3,54.5,43.3,38.6,54.4
26451,ANCHORAGE,AK,11,15.2,18.6,29.9,40,48.4,52.9,50.9,42.9,30.7,18.3,13.8,31
25308,ANNETTE,AK,32.5,32.6,34.1,38.9,44.8,49.9,53.5,53.8,49.1,42.3,36.5,33.5,41.8
27502,BARROW,AK,-17.8,-18.3,-17.2,-2.5,18.5,31.1,35.6,35.1,30.3,16.8,-0.1,-12.2,8.3
26615,BETHEL,AK,1.2,6.5,7,21.2,34.1,44.5,49,47.3,39.4,26.4,12.8,3.7,24.4
26533,BETTLES,AK,-18.9,-13.3,-9.2,13.2,34.2,47.3,49.4,42.7,32.6,14.3,-7,-13.9,14.3
26415,BIG DELTA,AK,-8,-0.9,3.6,23.5,38.2,48.7,51.7,46.7,36.4,19.6,1.4,-4.6,21.4
25624,COLD BAY,AK,23.7,25.5,24.4,29.8,35.5,42,46.9,48.1,43.4,36.1,30.6,25.9,34.3
26411,FAIRBANKS,AK,-17.2,-11.2,-3.4,21.7,38.6,50.2,53.1,47.6,36.2,18.4,-4.1,-13,18.1
26425,GULKANA,AK,-11.7,-4.9,1.4,20.8,33.4,42.5,46.5,42.5,33.1,18.3,-1.4,-8.2,17.7
25507,HOMER,AK,19,21.7,23.1,31.3,38.2,44.7,49.2,48,42.3,33.3,24.8,21.4,33.1
25309,JUNEAU,AK,23.8,24.6,26.6,32.9,40.3,46.8,50.1,49.1,44.1,37.1,29.2,25.9,35.9
25503,KING SALMON,AK,9.8,14.7,15.2,27.6,36.1,43.5,48.9,48,41,29,18.2,11.4,28.6
25501,KODIAK,AK,26.2,27.2,27.6,33.6,39.9,45.7,50.5,50.3,44.2,36,30.2,26.5,36.5
26616,KOTZEBUE,AK,-8.4,-5.8,-6,8.8,27.3,41.8,50.5,47.7,38.7,23,5.6,-3.8,18.3
26510,MCGRATH,AK,-14.1,-5.6,-0.7,21.5,38,48.6,52.1,47.8,38,22.4,1.1,-10,19.9
26617,NOME,AK,-2,1.3,1.6,15.9,30.9,41.5,46.3,44.4,37.2,24.9,12.2,2,21.4
25713,ST. PAUL ISLAND,AK,21.4,21.2,20.8,26.1,32.4,38.7,44.2,46.1,41.9,35.3,30.1,24.7,31.9
26528,TALKEETNA,AK,5.4,9.4,12.4,25.8,36.7,47,51.4,47.9,39,26.5,13.2,7.8,26.9
26442,VALDEZ,AK,19.1,21.4,23,31.9,39.8,46.3,49.1,46.9,41.6,34.1,24.9,21.8,33.3
25339,YAKUTAT,AK,22.4,23.5,23.8,30.3,37.6,45,49.2,47.5,41.9,34.8,27.3,25.1,34
3103,FLAGSTAFF,AZ,17.6,19.6,23.8,28.2,34.6,42.5,51.4,50.6,42.5,31.5,23,16.9,31.9
23183,PHOENIX,AZ,46,49,54.5,60.8,69.5,78.6,84.5,83.6,78.1,65.6,53.7,45.3,64.1
23160,TUCSON,AZ,40.8,43.2,48,53.3,61.8,71.1,76.3,75.2,70.4,59,47.9,40.5,57.3
23194,WINSLOW,AZ,22,25.9,31.8,37.9,46.2,55.2,63.7,62.5,53.8,40.4,28.9,21.7,40.8
13964,FORT SMITH,AR,29.6,33.4,41.5,49.8,59.5,68.3,72.1,70.9,63.1,51,40,32.3,51
13963,LITTLE ROCK,AR,30.9,34.2,41.8,50.1,59.3,67.7,71.2,70.1,62.9,50.9,40.2,33.3,51
23155,BAKERSFIELD,CA,40.5,43.2,47,50.7,58,65.1,71.3,70,65,55.2,45.4,39.6,54.3
23157,BISHOP,CA,23.5,26.4,31.3,36.7,44.2,51.4,56.7,54,47.2,37.4,27,22.1,38.2
23225,BLUE CANYON,CA,34.4,33.1,34.7,37.5,45.6,54.4,62.7,62.1,57.2,48.1,39,33.6,45.2
93193,FRESNO,CA,40.6,43.3,47.3,50.9,57.6,63.9,69.3,67.9,63.4,54.6,45.4,39.8,53.7
23129,LONG BEACH,CA,46.9,48.4,51.2,53.9,57.9,61.3,64.9,65.5,63.9,59.1,51.6,46.6,55.9
93134,LOS ANGELES,CA,48.9,50,52.4,54.8,58.1,61.4,64.7,65.4,64.2,59.9,53.1,48.2,56.8
24257,REDDING,CA,37.7,40.1,43.2,47,54.3,62.4,67,63.9,58.2,50.2,41.5,37.2,50.2
23232,SACRAMENTO,CA,39.2,41.5,44.5,47,52,56.5,59.2,58.8,56.5,50.3,42.7,38.5,48.9
23188,SAN DIEGO,CA,50.3,51.8,54.5,57.1,60,62.6,66.1,67.5,66.2,61.5,54.8,49.8,58.5
23272,SAN FRANCISCO,CA,46.6,47.9,48.9,49.7,51.4,53,54.4,55.5,55.6,54.4,50.7,47,51.3
23190,SANTA BARBARA,CA,41.3,43.6,46.2,48.1,51.3,54.5,58.1,58,55.7,50.9,44.3,40.4,49.4
23273,SANTA MARIA,CA,41,42.5,44.3,45.4,48.7,51.6,54.9,55.1,53.7,49.8,44.3,40.1,47.6
23237,STOCKTON,CA,39.1,41.3,44.2,47.4,52.6,57.6,60.9,60.3,57.5,50.6,42.8,38.4,49.4
23061,ALAMOSA,CO,-1.1,7.4,17.6,25,33.6,40.9,47.3,45.8,37.3,24.8,12.1,0.8,24.3
93037,COLORADO SPRINGS,CO,18.5,20.2,27.3,34,43.5,52.8,58.2,56.6,48.9,36.6,26,18.7,36.8
23062,DENVER,CO,17.6,19.3,27.1,33.7,43.4,52.9,59.3,57.2,48.2,35.7,25.5,17.7,36.5
23066,GRAND JUNCTION,CO,17.3,24.1,31.7,38.1,47.1,56.8,63.9,61.6,52.5,39.5,27.5,18,39.8
93058,PUEBLO,CO,15.4,19,27.1,35.3,45.6,55,61,59.4,50.1,35.9,24.2,15.9,37
94702,BRIDGEPORT,CT,24.4,25.7,32.3,41.7,51.7,61.5,67.9,67,59.8,48.3,38.4,30.2,45.7
14740,HARTFORD,CT,18.8,20.7,28.2,38.4,48.4,57.8,63.4,61.7,53.8,42.4,33,24.6,40.9
13781,WILMINGTON,DE,25.6,27,33.9,43.5,53.4,63,68.3,66.6,59.3,47.3,37.4,30.3,46.3
93738,WASHINGTON DULLES,DC,25.2,26.7,33.6,43.2,53,61.9,66.8,65.2,57.9,45.3,35.6,29,45.3
13743,WASHINGTON NAT'L,DC,30.1,31.8,38.6,48.4,58,67.5,72.4,71,64.1,52.2,41.6,34.5,50.9
12834,DAYTONA BEACH,FL,48.5,51.1,54.8,60.1,66.2,71.8,73.5,74.1,72.9,66.7,57.9,52.1,62.5
12835,FORT MYERS,FL,54.3,56.6,59.6,64.3,69.1,73.6,74.7,75.1,74.3,69.4,61.8,57.3,65.8
12816,GAINESVILLE,FL,42.6,45.9,49.7,55.5,62.6,69.5,71.6,72,69.4,60.6,50.6,45.2,57.9
13889,JACKSONVILLE,FL,42.9,46.1,50.6,56.4,63.9,70.7,73.2,73.4,70.5,61.5,51.3,45.8,58.9
12836,KEY WEST,FL,65.5,67.1,69.3,73.1,76.4,79.4,80.6,80.5,79.2,76.8,72.2,68.3,74
12839,MIAMI,FL,61,63.2,65.6,69.8,73.4,76.3,77.5,77.7,76.9,74.2,68.3,64.3,70.7
12815,ORLANDO,FL,49.5,52.4,55.8,60.7,66.3,71.6,73.2,73.7,72.4,66.2,58.2,52.9,62.7
13899,PENSACOLA,FL,43.7,47.2,52.7,59,66.9,73.5,75.3,75,71.5,61.6,51,45.9,60.3
93805,TALLAHASSEE,FL,40.5,43.5,48.6,54.4,63,70.8,73,73.2,69.6,58.8,48,42.9,57.2
12842,TAMPA,FL,52.8,55.5,59.3,64.8,70.6,75.4,76.6,76.8,75.3,69.2,60.7,55.9,66.1
12843,VERO BEACH,FL,52.2,54.5,57.7,62.4,67.8,72.2,73.3,73.6,73.4,69,61.4,56.1,64.5
12844,WEST PALM BEACH,FL,57.9,60.1,63,67.5,71.7,75,76.1,76.5,75.8,72.6,66.1,61.5,68.6
13873,ATHENS,GA,33.8,36.9,42.9,49.8,58.6,66.5,70,69.2,63.3,51.9,41.6,36.3,51.7
13874,ATLANTA,GA,35.6,38.9,45.3,52.5,61.3,68.6,71.8,71.3,65.9,54.9,44.2,38.4,54.1
3820,AUGUSTA,GA,35.3,38.1,44.1,50.6,59.6,68.1,71.6,71,65,53.1,42.2,37.3,53
